id	urhobo_raw	urhobo_toned	english	category	audio_source	status
voc_001	mẹ	mẹ́	I / me	pronoun	corpus_search	seed_pronoun
voc_002	mẹvwẹ	mẹ́vwẹ	I (emphatic) / me	pronoun	corpus_search	seed_pronoun
voc_003	wẹ	wẹ́	you (singular)	pronoun	corpus_search	seed_pronoun
voc_004	wẹvwẹ	wẹ́vwẹ	you (singular emphatic)	pronoun	corpus_search	seed_pronoun
voc_005	ọye	ọ́ye	he / she / him / her	pronoun	corpus_search	seed_pronoun
voc_006	avwanre	avwanre	we / us	pronoun	corpus_search	seed_pronoun
voc_007	wevwe	wevwe	you (plural)	pronoun	corpus_search	seed_pronoun
voc_008	aye	ayé	they / them	pronoun	corpus_search	seed_pronoun
voc_009	A	A	Letter A / sound /a/	alphabet	synthetic_lexicon	seed_alphabet
voc_010	B	B	Letter B / sound /b/	alphabet	synthetic_lexicon	seed_alphabet
voc_011	CH	CH	Digraph CH / sound /tʃ/	alphabet	synthetic_lexicon	seed_alphabet
voc_012	D	D	Letter D / sound /d/	alphabet	synthetic_lexicon	seed_alphabet
voc_013	DJ	DJ	Digraph DJ / sound /dʒ/	alphabet	synthetic_lexicon	seed_alphabet
voc_014	E	E	Letter E (close-mid) / sound /e/	alphabet	synthetic_lexicon	seed_alphabet
voc_015	Ẹ	Ẹ	Letter Ẹ (open-mid) / sound /ɛ/	alphabet	synthetic_lexicon	seed_alphabet
voc_016	F	F	Letter F / sound /f/	alphabet	synthetic_lexicon	seed_alphabet
voc_017	G	G	Letter G / sound /ɡ/	alphabet	synthetic_lexicon	seed_alphabet
voc_018	GB	GB	Digraph GB / sound /ɡ͡b/	alphabet	synthetic_lexicon	seed_alphabet
voc_019	GH	GH	Digraph GH / sound /ɣ/	alphabet	synthetic_lexicon	seed_alphabet
voc_020	GHW	GHW	Trigraph GHW / sound /ɣʷ/	alphabet	synthetic_lexicon	seed_alphabet
voc_021	H	H	Letter H / sound /h/	alphabet	synthetic_lexicon	seed_alphabet
