index	urhobo_toned	english
1	úpe	scar
2	ɔ́ba	emperor
3	òtá	talk
4	òdà	cutlass
5	écá	coming
6	oɟa	soap
7	oʒa	suffering
8	ɔ́kà	maize
9	ɔ̀ɡà	illness
10	ɔ́kʷa	let him pack
11	ɔ́ɡʷà	a kind of yam
12	òk͡pè	ugly person
13	og͡ba	fence
14	ɔ́mɔ̀	child
15	ɔ̀nà	this
16	eɲa	saliva
17	àŋ͡má	cloth
18	òlɔ̀	grinding stone
19	ɔɹe	tsetse fly
20	ɔ̀ɹ̥ɛ̀	plantain
21	éwé	ponds
22	eʋá	fortune-telling
23	èvã̀	monitor lizard
24	èʍá	bed
25	éfã̀	others
26	ɔ̀sè	father
27	òze	basin
28	èʃà	grey hair
29	ɔ̃́jã́	journey
30	ɔ́xɔ̀	fowl
31	ɔ̀ɣɔ̀	respect
32	òw̝ó	soup
