index	urhobo_raw	urhobo_phonetic_tone	english
1	upe	úpè	scar
2	obọ	obọ	hand
3	upho	uɸó	throat
4	ẹvwe	ẹβé	goat
5	ame	ame	water
6	efi	efi	rope for climbing palms
7	uvi	uví	paddle
8	eta	ètá	ward
9	udu	údù	chest
10	osa	osa	debt
11	uzo	úzo	bushbuck
12	eni	ení	head pad
13	ọrhẹ	ọr̥ẹ	plantain
14	ọre	ọre	tsetse fly
15	oshọ	oʃọ	fear
16	oja	óʒà	suffering
17	ochẹ	ocẹ́ (or c͡ç )	water pot
18	odja	oɟa (or ɟ͡ʝ)	soap
19	ọnya	ọɲà	lobster
20	aye	aje	woman
21	akon	akõ	tooth
22	ọgọ	ọgọ́	bottle
23	eha	éxà	dance, game
24	agha	aɣá	broom
25	akpọ	akpọ	world, earth
26	ogba	ógba	fence
27	ohwo	oxʍó	person
28	oghwo	oɣwó	soup
29	amwa	aŋmá	cloth
30	uwen	úwén	nose
31	olọ	òlɔ̀	grinding stone
32	ɛkúá	ɔ̀kʷa (ɛ̀kwá)	let him pack
33	ɔgua	ɔ́ɡʷa	type of yam
34	ọhọ	ɔ́xɔ̀	chicken
35	ọghọ	òɣò	respect
36	ebun	bnũ̀	increase
37	tẹn	tnɛ̃̀	fade, lose credibility or prestige
38	gbon	gbnõ̀	stink
39	dọn	dnɔ̃̀	to grow lean
40	echon	cnɔ̃̀	to defend
41	adjan	aɟnã́ (does not sound nasal)	bat
42	kọn	knɔ̃̀	plant; move out
43	gun	gnũ	to state a case
44	phan	ɸ̃ã	expand
45	vun	ṽũ	uproot
46	isọn	ís̃ɔ̃̀	faeces
47	uhuhin	ùxòx̃ĩ̀	navel
48	ɛriẹn	ṇỹɛ̃̀	to know
49	ɛfọn	f̃ɔ̃̀	to be neat
50	fọ	fɔ̀	to be quiet
51	sẹn	s̃ɛ̃̀	refuse
52	se	se	call
53	me	mẽ̀	to plait
54	úwè	ṹw̃ẽ́	mosquito
55	ọmọ	ɔ́mɔ̃́	child
56	ghọ̀n	ɣ̃ɔ̃̀	be stiff
57	nọ	nɔ̃̀	ask
58	lọ	lɔ	grind
59	na, yan	ṇã̀, jã	to move
60	rhọn	r̥ɔ̃̀	to warm again
61	la	j̃ã	go
62	eduvwo	dũ̀ʋ̃ũ̀	to pound
63	ya	yà (not in Central Urhobo dialect)	write
64	wẹn	w̃ɛ̃̀	breathe
65	wẹ	r̥ɔ̃̀	you (sg.)
66	yon	ỹõ̀	hear
67	èsívwò	fũ̀ɛ̃̀	heal
68	efan	éfã̀	others
69	evan	èvã̀	monitor lizard
70	si	si	write (imp.)
71	rhi	r̥i	be destined
72	ni	nĩ	look
73	se	se	read (imp.)
74	ve	ve	price
75	rhe	r̥e	arrive
76	ne	nẽ̀	to defecate
77	ẹsẹ	sẹ	seeking a miracle
78	nẹ	nẹ̃	to pet a person
79	sa	sa	shoot
80	rha	r̥a	fly
81	na	nã̀	to be (in a place)
82	va	va	crack
83	ɛvọ	vọ	be full
84	rhọ	r̥ọ	to survive
85	so	so	sing (imp.)
86	rho	r̥o	boil before frying
87	vo	vo	fetch
88	vu	vu	uproot
89	rhu	r̥u	cluster together
90	guo̠no̠	ɡwɔnɔ̃	like, look for
91	ímwó	íŋwũ̀	shirt, robe
92	ghwu	ɣwù	die
93	oviɛ	ovjɛ̀	cry, weep
94	guo̠no̠	ɡwɔ̀nɔ̃̀	find
95	ígue	ìɡw̃ɛ̃̀	to kneel
96	bi	bi	to row
97	eki	èkì	market
98	ekpu	ékpù	bag
99	ogbodu	òɡbòdú	vulture
100	apia, aphia	àɸyá	knife
101	ufi	úfi	rope
102		é sé ayẽ	they are called
103		a dɛ́ ayɛ̃	they are bought
104		e sé wé	you (sg.) are called
105		a dɛ́ wɛ́	you (sg.) are bought
106		èʍá	bed
107		éwé	ponds
