# Urhobo Disambiguated Homograph Pairs (Audited v1.0)
plain_form	canonical_tone_form	gloss_en	pos	source_ids	reviewed
abe	Abe	A   species  of  water  yam  with   red	n.	okrokoto_2020	True
abe	Abe	Guilty   verdict	n.	okrokoto_2020	True
abe	abé	guilt (in a case or law-suit)	n.	ukere_1986	True
ada	ada	outing / Outing ; out from  home  :  Kpẹ  ada  =  gone	n.	okrokoto_2020,ukere_1986	True
ada	áda	forked stick	n.	ukere_1986	True
agbotọ	Agbotọ	Jaw	n.	okrokoto_2020	True
agbotọ	agbótọ	chin	n.	ukere_1986	True
aka	aka	Urhobo name for the Edo (Bini) people and their language / Edo  people  from  southern  Nigeria	n.	okrokoto_2020,ukere_1986	True
aka	Áká	Bitter  kola	n.	okrokoto_2020	True
akpanurhe	Akpanurhe	Local  Low  seat	n.	okrokoto_2020	True
akpanurhe	ákpánurhé	stool	n.	ukere_1986	True
akpono	Akpono	Plastic   beads  for    female  fashion.	n.	okrokoto_2020	True
akpono	akpóno	very flat bead made from rubber or palm kernel shells	n.	ukere_1986	True
akpẹrẹ	Akpẹrẹ	Basket	n.	okrokoto_2020	True
akpẹrẹ	akpẹ́rẹ	elephant tusk horn	n.	ukere_1986	True
asa	Asa	place / Place	n.	grammar_basic_course,okrokoto_2020,ukere_1986	True
asa	Asá	bird with red beak that bores hole in the pit / A bird's name	n.	grammar_basic_course,ukere_1986	True
ato	Ato	Desert	n.	grammar_basic_course,okrokoto_2020	True
ato	Ató	chewing stick / Chewing   stick. / Chewing stick	n.	grammar_basic_course,okrokoto_2020,ukere_1986	True
avware	avware	wide area with collection of ponds	n.	ukere_1986	True
avware	avwáre	we	pron.	ukere_1986	True
avwebọ	Avwebọ	Favorite  person	n.	okrokoto_2020	True
avwebọ	ávwebọ	favourite (e.g. wife)	n.	ukere_1986	True
ayen	ayen	they	pron.	ukere_1986	True
ayen	áyen	them	pron.	ukere_1986	True
bro	Bro	Cut  it.	n.	okrokoto_2020	True
bro	bró	how many? / how much? / How  many ?	int.	okrokoto_2020,ukere_1986	True
cha	Cha	Coming  e.g. Mẽ   cha = I am  coming.	n.	okrokoto_2020	True
