Rank,Word,Frequency,English Gloss,Proposed Tone,Verified Tone,Genesis Context
1,rẹ,1089,beg/plead / Beg,rẹ,rẹ,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
2,da,924,Drink / drink,da,da,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
3,na,883,to be (in a place),nà,nà,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
4,kẹ,605,Give,Kẹ́,Kẹ́,"Ọrovwohwo Ọghẹnẹ de ji urhi kẹ ohwo na, nẹ, Wọ sa re omamọ komamọ rẹ udju na obo ri jẹn we;"
5,vwẹ,506,Urinate,Vwẹ,Vwẹ,"Urhie da va phia vwẹ Idẹn rere ọrhuọrhuọ udju na, Etiyin ọ da jẹn eghọn ẹ́ne."
6,ọ,500,"he, she, it",ọ,ọ,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
7,de,494,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
8,ri,487,,,,"Odẹ rẹ ọrẹsosuọ Pishọn, ọna re djẹ nene ubrotọ ri Havila, ra da mrẹ oro;"
9,rọye,465,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
10,ta,352,A  mild  condemnation ; Blame  or  curse,Ta,Ta,"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọsháre ọ́vo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ."
11,re,341,eat / Eat,re,re,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
12,o,308,,,,Ọrovwohwo Ọghẹnẹ da reyọ ohwo na o de phio phihọ udju rẹ Idẹn na rere ọ sẹro rọye.
13,ayen,293,they,ayen,ayen,"Fiki rẹ ọtiọye na ọsháre vwọ yan jẹn ọ́sẹ rọye vẹ oní rọye vwó kọ rhe gbanọ ayé rọye, ayen ke dia omá ọ́vo."
14,nẹ,254,from,nẹ,nẹ,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
15,vwọ,243,assist a person in lifting a load to the head,vwọ,vwọ,"Ọrovwohwo Ọghẹnẹ da ta, Oyoma rere ọsháre ọ́vo vwọ dia sogono-o, Me ma ọchuko ro fori vwọ kẹ."
16,kugbe,238,,,,Kẹnẹ a ma odjúvwu vẹ akpọ́ kugbe obo re vọnrọ ejobi wan.
17,mẹ,235,Me,Mẹ,Mẹ,"Etiyin ọsháre na da ta, Ọnana ubeku mẹ́ kugbe uvwo rẹ uvwo mẹ, ke se nẹ Ayé, fikiridie omá rẹ ọshare esiro nurhe."
18,me,215,plait / to plait,mè,mè,ẹkẹvuọvo evwru kọye di muẹ nẹ otọ na kpenu ọ Me rhe kpọrhọ otọ na ejobi -
19,wẹn,212,breathe,wẹn,wẹn,"Ẹkẹvuọvo ke Me vẹ owẹ re ọphọ; ko wọ cha ro evun rẹ ókọ̀ na, te owẹ te emọ wẹn, aye wẹn te eya rẹ emọ wẹn."
